model,Fearures,round,test_acc,test_pre,test_rec,test_f1,epoch
CNN_GCN,manual+lstm_seq74,0,0.9230769230769231,0.9087591240875912,0.9291044776119403,0.9188191881918818,104
CNN_GCN,manual+lstm_seq74,1,0.9195804195804196,0.9021739130434783,0.9291044776119403,0.9154411764705883,87
CNN_GCN,manual+lstm_seq74,2,0.9265734265734266,0.924812030075188,0.917910447761194,0.9213483146067416,200
CNN_GCN,manual+lstm_seq74,3,0.9230769230769231,0.9087591240875912,0.9291044776119403,0.9188191881918818,132
CNN_GCN,manual+lstm_seq74,4,0.9318181818181818,0.9320754716981132,0.9216417910447762,0.926829268292683,158
CNN_GCN,manual+lstm_seq74,5,0.9248251748251748,0.9090909090909091,0.9328358208955224,0.9208103130755064,107
CNN_GCN,manual+lstm_seq74,6,0.9195804195804196,0.9051094890510949,0.9253731343283582,0.915129151291513,62
CNN_GCN,manual+lstm_seq74,7,0.9265734265734266,0.9154411764705882,0.9291044776119403,0.9222222222222222,303
CNN_GCN,manual+lstm_seq74,8,0.9230769230769231,0.9057971014492754,0.9328358208955224,0.9191176470588236,172
CNN_GCN,manual+lstm_seq74,9,0.9335664335664335,0.9356060606060606,0.9216417910447762,0.9285714285714286,261
